tweet_id,text,created_at,author_id,author_username,author_name,author_followers,author_following,author_tweet_count,author_verified,user_location,retweet_count,like_count,reply_count,quote_count,impression_count,lang,possibly_sensitive,source,collected_at,party,sentiment,district,user_type,month,year
2.02513E+11,Congress's alliance decisions are confusing party workers. https://t.co/tnupdate2,2025-12-10T18:28:35Z,4.09143E+17,TamilPol331,Raja Naidu,44073,4902,75073,TRUE,"Kanyakumari, Tamil Nadu",358,12880,48,13,1708043,en,FALSE,Twitter Web App,2025-12-01T06:01:45.109820Z,Congress,negative,Kanyakumari,political,2025-12,2025
2.02513E+11,NTK's campaign strategy is resonating with Tamil Nadu voters. #TamilNaduFirst #TamilNaduElections2026 Strong presence in Tiruchirappalli. மக்கள்,2025-12-10T07:19:18Z,2.38747E+17,குமார்407,குமார் Iyer,920,1259,33899,FALSE,"Chennai, Tamil Nadu",6,20,9,4,3099,en,FALSE,Twitter Web App,2025-12-01T06:01:45.109820Z,NTK,positive,Chennai,regular,2025-12,2025
2.02513E+11,Congress's alliance decisions are confusing party workers. #Congress Strong presence in Vellore. https://t.co/electionnews3,2025-12-15T09:30:46Z,6.95553E+17,VijayFan934,TVK Supporter,8772,372,38848,FALSE,"Karur, Tamil Nadu",1547,5404,336,120,917594,ta,FALSE,Buffer,2025-12-01T06:01:45.109820Z,Congress,negative,Karur,fan_account,2025-12,2025
2.02513E+11,DMK's campaign strategy is resonating with Tamil Nadu voters. #DMK2026 #TamilNaduElections2026 இளைஞர்கள்,2025-12-01T18:10:10Z,2.92233E+17,செல்வன்773,செல்வன் Iyer,6336,569,28385,FALSE,"Chennai, Tamil Nadu",26,107,26,4,15258,en,FALSE,Twitter for iPhone,2025-12-01T06:01:45.109820Z,DMK,positive,Chennai,regular,2025-12,2025
2.02513E+11,AIADMK's alliance decisions are confusing party workers. #EPS #TNVotes2026 Strong presence in Karur.,2025-12-01T11:59:58Z,2.48767E+17,TVK6130,Vijay Fan,72604,70,34710,FALSE,"Chennai, Tamil Nadu",18632,23122,88,29,6877115,en,FALSE,Twitter for Android,2025-12-01T06:01:45.109820Z,AIADMK,negative,Chennai,fan_account,2025-12,2025
2.02513E+11,PMK is reviewing its social media strategy. #PMK #TamilNaduElections2026,2025-12-09T10:52:48Z,2.57165E+17,Raja5689,Raja,22687,988,54343,FALSE,"Kanyakumari, Tamil Nadu",77,716,17,7,123096,en,FALSE,Twitter for iPhone,2025-12-01T06:01:45.110830Z,PMK,neutral,Kanyakumari,regular,2025-12,2025
2.02513E+11,Congress is effectively addressing local issues in Tamil Nadu. https://t.co/electionnews3,2025-12-25T04:16:01Z,3.59818E+17,MaduraiPol229,Senthil Naidu,96055,1215,30297,TRUE,"Vellore, Tamil Nadu",249,11181,27,9,964130,en,FALSE,Twitter for Android,2025-12-01T06:01:45.110830Z,Congress,positive,Vellore,political,2025-12,2025
2.02513E+11,Youth are increasingly supporting PMK in Tamil Nadu. #Anbumani #TNVotes2026 Strong presence in Thanjavur. வளர்ச்சி,2025-12-07T13:21:33Z,8.05466E+17,Selvan5356,Selvan Thevar,7091,985,23907,FALSE,"Tiruchirappalli, Tamil Nadu",49,11,37,17,15300,ta,FALSE,Twitter for iPhone,2025-12-01T06:01:45.110830Z,PMK,positive,Tiruchirappalli,regular,2025-12,2025
2.02513E+11,Ground reports suggest AIADMK is strong in multiple districts. #TamilNaduElections2026 Strong presence in Coimbatore.,2025-12-25T15:10:49Z,6.59757E+17,ObserverTN42,Political Observer,36343,599,74254,FALSE,"Madurai, Tamil Nadu",1448,13093,167,75,1125055,en,FALSE,Twitter for iPhone,2025-12-01T06:01:45.110830Z,AIADMK,positive,Madurai,analyst,2025-12,2025
2.02513E+11,Recent surveys show declining support for AIADMK. #AIADMK2026 #TNElection2026 Strong presence in Chennai.,2025-12-29T15:03:52Z,3.30274E+17,DailyTamilNadu641,Daily Tamil Nadu,134701,786,51799,TRUE,"Kanchipuram, Tamil Nadu",110132,203670,197,41,22951750,en,FALSE,Twitter for Android,2025-12-01T06:01:45.110830Z,AIADMK,negative,Kanchipuram,media,2025-12,2025
